Title,Season,Track,Episode
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","24 Ep"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","24 Ep"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","26 Ep"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","25 Ep"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","24 Ep"
"A Journey Through Another World: Raising Kids While Adventuring [บันทึกการเดินทางแสนเอื่อยในต่างโลก (เลี้ยงลูกพร้อมกับเป็นนักผจญภัย)]","Season 1","ซับไทย, พากย์ไทย","12 Ep"
"Angel Beats! [แองเจิลบีทส์! แผนพิชิตนางฟ้า]","Season 1","พากย์ไทย","14 Ep"
"Arifureta: From Commonplace to World's Strongest [อาชีพกระจอกแล้วทำไม ยังไงข้าก็เทพ]","Season 1","พากย์ไทย","13 Ep"
"Arifureta: From Commonplace to World's Strongest [อาชีพกระจอกแล้วทำไม ยังไงข้าก็เทพ]","Season 2","พากย์ไทย","12 Ep"
"Arifureta: From Commonplace to World's Strongest [อาชีพกระจอกแล้วทำไม ยังไงข้าก็เทพ]","Season 3","ซับไทย, พากย์ไทย","16 Ep"
"Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside [ผมโดนกลุ่มผู้กล้าขับไสเลยต้องไปสโลว์ไลฟ์ที่ชายแดน]","Season 1","พากย์ไทย","13 Ep"
"Black Clover [แบล็คโคลเวอร์]","Season 1","พากย์ไทย","170 Ep"
"Black Summoner [นักอัญเชิญทมิฬ]","Season 1","พากย์ไทย","12 Ep"
"Campfire Cooking in Another World with My Absurd Skill [สกิลสุดพิสดารกับมื้ออาหารในต่างโลก]","Season 1","พากย์ไทย","24 Ep"
"Chainsaw Man [เชนซอว์แมน]","Season 1","พากย์ไทย","12 Ep"
"Dusk Maiden of Amnesia [คนสืบผี]","Season 1","พากย์ไทย","13 Ep"
