??????????,season,track,episode
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 1 - เมืองแห่งการศึกษา"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 2 - ล่าสังหารจอมราชันแม่มด อินโนเซนต์อุส"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 3 - เนสเซสซาริอุส"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 4 - ความทรงจำที่สมบูรณ์"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 5 - เส้นตายตอนเที่ยงคืน"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 6 - อิมเมจินเบรกเกอร์"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 7 - รงเรียนกวดวิชา มิซาว่า"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 8 - อาร์ส แมกนา ดินแดนแห่งทองคำ"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 9 - นักฆ่าผีดูดเลือด"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 10 - มิซากะ มิโคโตะ"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 11 - ซิสเตอร์"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 12 - เลเวล 6 ความสามารถที่แท้จริง"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 13 - แอคเซราเลเตอร์"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 14 - แข็งแกร่งที่สุด ปะทะ อ่อนแอที่สุด"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 15 - แองเจิลฟอล เทพธิดาตกสวรรค์"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 16 - คุณพ่อคามิโจ โทยะ"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 17 - พลังแห่งเทพเจ้า อัครเทวทูต"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 18 - ของเลียนแบบ ของปลอม"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 19 - ลาสต์ออร์เดอร์ งานสุดท้าย"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 20 - โค้ดไวรัส สัญญาณสุดท้าย"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 21 - เคาน์เตอร์สต๊อป ความจริงที่ไม่ชัดเจน"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 22 - โกเลม รูปปั้นหิน"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 23 - เพื่อน คาซาคิริ เฮียวกะ"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 1","พากย์ไทย","ตอน 24 - เขตการศึกษาจินตภาพ สถาบันวิจัยธาตุทั้งห้า"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 1 - ชวเลข"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 2 - หน่วยฮาวน์ด็อก"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 3 - นิกายอามาคุสะ"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 4 - โชลล์เฟียร์"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 5 - ไม้กายสิทธิ์ดอกบัว"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 6 - เศษซาก"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 7 - มูฟพอยต์"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 8 - ไดฮะเซย์ไซ"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 9 - กำบังขวางเส้นทาง"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 10 - ชวเลข"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 11 - ดาบสังหารนักบุญ"
